title,artist,date,category,medium,id,url,image
O gato acorrentado a um só traçado,Gabriel Borba,1977;,Vídeo,"vídeo 1/2 pol., som, pb, 01'43''",33761,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/33761,
As Ilusões,"Cláudio Goulart , Flavio Pons",1977;,Vídeo,"vídeo 1/2 pol.,som, pb, 4'39",26285,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/26285,
Sem título,Carmela Gross,1977;,Vídeo,"vídeo 1/2 pol., som, pb, 2'58'",26284,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/26284,
Recycling 1977 - MAC and the Museum of Museums,Dov Or Ner,1977;,Fotografia,diapositivo em cores 35 mm e datilografia sobre papel,20064,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20064,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/3/6/3406_ca_object_representations_media_3611_large.jpg
Colaborar com a Cultura é Também a Nossa Missão,Clemente Padín,1977;,,"recorte de papel, offset, caneta esferográfica e fita adesiva sobre papel",20063,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20063,
Hacia un Lenguage de la Acción,,circa 1977;,Impressão fotomecânica,fotocópia sobre papel encadernado com grampos,20062,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20062,
OVUM,,1977;,Impressão fotomecânica,"offset, caneta esferográfica, carimbo, fotocópia e recorte de cartão perfurado sobre papel encadernado com grampos",20061,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20061,
Cacosyntheton,Dámaso Ogaz,1976;,Impressão fotomecânica,fotocópia e carimbo sobre papel,20060,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20060,
Dámaso Ogaz Condenado a 473 Dias de Silêncio,Dámaso Ogaz,1977;,Impressão fotomecânica,fotocópia e carimbo sobre papel,20059,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20059,
Povis 2 - Projeto 18,"Julien Blaine , Joaquim Branco , Paulo Bruscky , Moacy Cirne , Carlos Humberto Dantas , Leonhard Frank Duch , Falves Silva , Eduardo Gosson , Aristides Klafke , Unhandeijara Lisboa , Marciano Lyrio , Diógenes Metidieri , Pedro Osmar , P. J. Ribeiro , Vânia Lucila Valério",1977;,Impressão fotomecânica,"carimbo, colagem, giz de cera, offset e fotocópia sobre papel e envelope kraft",20058,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20058,
Minha Sentença Favorita em Relação a Arte,Klaus Groh,1977;,Publicação de Artista,offset sobre papel e carimbo e offset sobre papel cartão encadernados com grampos,20057,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20057,
Try,Klaus Groh,1976;,Colagem | Objeto,"carimbo, colagem, hidrografica e offset sobre papel montado em porta-retrato de madeira com vidro",20056,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20056,
INFO N° 25,Klaus Groh,1977;,Publicação de Artista | Arte postal | Impresso,offset sobre papel,20055,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20055,
INFO N° 24,Klaus Groh,1977;,Publicação de Artista | Arte postal | Impresso,offset sobre papel,20054,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20054,
Or,Klaus Groh,1977;,Publicação de Artista,offset sobre papel encadernado com grampos,20053,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20053,
Informe y Resumen General de Actividades en Sudamerica,Isidoro Valcárcel Medina,1976;,Livro de Artista | Registro de ação,carimbo e fotocópia sobre papel,20052,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20052,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/6/9/1335_ca_object_representations_media_6987_large.jpg
Confirmado: é Arte,Paulo Bruscky,1977;,Arte postal,"offset em cores, carimbo e decalque sobre cartão postal",20051,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20051,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/5/20643_ca_object_representations_media_531_large.jpg
Projekt Osterhase,Wolf Vostell,1976 – 1977;,Projeto de Instalação | Impressão fotomecânica,"fotocópia, offset, caneta esferográfica e adesivo sobre papel encadernado com grampo",20050,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20050,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/1/9/76582_ca_object_representations_media_1985_large.jpg
"Theory Concerning Tradition, Culture and Transformation During the Action of a President Murder",Edgardo-Antonio Vigo,1977;,Desenho,"caneta hidrográfica, carimbo, recortes de offset em cores e de envelope sobre papel",20049,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20049,
Opposition Between Native Group and Tank Drivers Spoiled by a Butterfly Analyticaly Annoying,Edgardo-Antonio Vigo,1977;,Desenho,"caneta hidrográfica, recortes de offset pb, carimbo e fitilho sobre papel",20048,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20048,
Page of My Album Containing Carolo's Birds and English Sky,Edgardo-Antonio Vigo,1977;,Desenho,"recortes de tipografia, xilografia e caneta hidrográfica sobre papel",20047,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20047,
Sem título,Enrique Gaona,circa 1977;,Desenho | Colagem,"datilografia, caneta hidrográfica e recorte de papel sobre envelope",20046,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20046,
Señas + Señales = la Flecha y Algunos de Sus Usos,Felipe Ehrenberg,1972 – 1977;,Impressão fotomecânica,fotocópia e colagem sobre papel,20045,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20045,
Campaña de Sensibilización Estetica,Clemente Padín,1977;,Desenho,"caneta hidrográfica, lápis de cor e guache sobre papel",20044,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20044,
El Libro Transparente,Isidoro Valcárcel Medina,1970;,Impressão fotomecânica,heliografia sobre papel,20043,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20043,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/6/9/1239_ca_object_representations_media_6986_large.jpg
Sem título,Ludwig Zeller,1969;,Gravura,serigrafia em cores sobre papel,20042,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20042,
Sem título,Ludwig Zeller,1969;,Gravura,serigrafia em cores sobre papel,20041,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20041,
